position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
1_0	148582598625640_642452232572005	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Moradores da rua João do Neto  no Centro da cidade  procuraram a Prefeitura para solucionar um problema de bueiro entupido. O local concentra um grande número de oficinas e empresas automotivas que trabalham com óleo e graxa. Apesar de seguirem as normas para a destinação do material  uma parte ainda vai para bueiros que entopem e causam transtornos como inundações. Em caso de bueiro entupido entre em contato com a Secretaria de Obras."	2016-06-03T20:24:13+0000	642452232572005_642600155890546	912c14d8f2080aeb01aefd6a2f87e4365b55bf1c	0	"Fabrício Morto e a equipe da elite motos, fizeram o requerimento solicitando providências para o local e foram atendidos!  Grande abraço Niltinho"	2016-06-04T06:35:16+0000	3		
1_1	148582598625640_642452232572005	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Moradores da rua João do Neto  no Centro da cidade  procuraram a Prefeitura para solucionar um problema de bueiro entupido. O local concentra um grande número de oficinas e empresas automotivas que trabalham com óleo e graxa. Apesar de seguirem as normas para a destinação do material  uma parte ainda vai para bueiros que entopem e causam transtornos como inundações. Em caso de bueiro entupido entre em contato com a Secretaria de Obras."	2016-06-03T20:24:13+0000	642452232572005_642834222533806	e028aaaf8c510bd7607efbab3b4e69d8e220aa2b	0	"Se uma parte ainda vai para os bueiros significa que estão dentro das normas? Tá Serto!"	2016-06-04T20:41:31+0000	0		
1_2	148582598625640_642452232572005	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Moradores da rua João do Neto  no Centro da cidade  procuraram a Prefeitura para solucionar um problema de bueiro entupido. O local concentra um grande número de oficinas e empresas automotivas que trabalham com óleo e graxa. Apesar de seguirem as normas para a destinação do material  uma parte ainda vai para bueiros que entopem e causam transtornos como inundações. Em caso de bueiro entupido entre em contato com a Secretaria de Obras."	2016-06-03T20:24:13+0000	642452232572005_642521765898385	4f0e1fade1119d05638807e923cd9d36151a99f3	0	"Isso e sinal q as eleições estão chegando."	2016-06-04T01:19:15+0000	1		
1_3	148582598625640_642452232572005	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Moradores da rua João do Neto  no Centro da cidade  procuraram a Prefeitura para solucionar um problema de bueiro entupido. O local concentra um grande número de oficinas e empresas automotivas que trabalham com óleo e graxa. Apesar de seguirem as normas para a destinação do material  uma parte ainda vai para bueiros que entopem e causam transtornos como inundações. Em caso de bueiro entupido entre em contato com a Secretaria de Obras."	2016-06-03T20:24:13+0000	642452232572005_642452819238613	ca3e2d79647bc34c8ee9ce5c84fe690835e63bf5	0	"Fabrício Morto"	2016-06-03T20:28:07+0000	0		
2_0	148582598625640_642451982572030	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Hoje começou a segunda etapa de construção do trecho de acesso ao trevo do bairro Serra Verde. Uma equipe da empresa responsável pela obra realizou marcações topográficas  onde futuramente  será a pista de acesso. Menos tempo na estrada e mais tempo com a família."	2016-06-03T20:23:44+0000	642451982572030_647550925395469	1f321b97cc1f730b0a1cb3e59d7be066144592d7	0	"Graças a DEUS q resolveu fazer,pena q tem q esperar passa quase quatro anos,pra ficar próximo da eleição !"	2016-06-15T17:34:20+0000	0		
8_0	148582598625640_638382839645611	6318a3e2f296275f59610d52e95f7b0804bf94e7	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	2016-05-24T20:10:53+0000	638382839645611_638649276285634	3cab1939d4c219030762f113b3dbc525791806e8	0	"Trabalho bacana...que pena que e so no ano de politica...poderia ser todos os anos."	2016-05-25T12:23:58+0000	0		
8_1	148582598625640_638382839645611	6318a3e2f296275f59610d52e95f7b0804bf94e7	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	2016-05-24T20:10:53+0000	638382839645611_638649619618933	3cab1939d4c219030762f113b3dbc525791806e8	0	"Isso acontece de dois em dois anos....que pena ne....."	2016-05-25T12:26:24+0000	0		
8_2	148582598625640_638382839645611	6318a3e2f296275f59610d52e95f7b0804bf94e7	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	2016-05-24T20:10:53+0000	638382839645611_638411502976078	4a799c9bf43e739ee510ec9b8187cfd73b7933a1	0	"Como voces e bom Deus abençoe vocês ai Lindas"	2016-05-24T21:51:55+0000	0		
8_3	148582598625640_638382839645611	6318a3e2f296275f59610d52e95f7b0804bf94e7	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	2016-05-24T20:10:53+0000	638382839645611_639649062852322	1c70cec98844c54f9b04926cd580fa8643a7c3e6	0	"Essa visita não tem nada a ver com política minha filha está Ness foto prq  é  uma estudante do Promaf do bairro Santos Dumont e eles estão fazendo esse trabalho em vários lugares de Para de minas  as crianças  estão aprendendo a ser um adulto consciente que saiba  respeitar valorizar  e amar o proximo... Então caro amigo presta atenção antes de falar besteira e aprende a elogiar o trabalho das crianças e mais elas não votam....  isso aí é  iniciativa delas....."	2016-05-27T22:06:15+0000	0		
8_4	148582598625640_638382839645611	6318a3e2f296275f59610d52e95f7b0804bf94e7	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	2016-05-24T20:10:53+0000	638382839645611_639623789521516	c185945d16723625c1b888a592f6782087b8380b	0	"olha ela Amandacristine Dos Santos Santos  Samantha Stephany"	2016-05-27T20:05:45+0000	0		
