type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_148582598625640	148582598625640_867070913443468	https://www.facebook.com/148582598625640/posts/867070913443468	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19934073_867071440110082_4751633374534172672_n.jpg?oh=90a44cafdbc50b2b9ff92ecd670d563c&oe=59D2609C	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19934073_867071440110082_4751633374534172672_n.jpg?oh=1d260e83547a3d97061f2e4442976341&oe=59D57126	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/867066773443882/	facebook.com	2017-07-05T23:00:00+0000	1499295600	"2017-07-06 01:00:00"	86	15	91	23	129	14	12	2	3	0	69	3	1	0	0	0	0
video	post_page_148582598625640	148582598625640_866443643506195	https://www.facebook.com/148582598625640/posts/866443643506195	"Fique de olho na programação do #ForródoPará desta sexta  7 de julho."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19789583_866443843506175_106200187449376768_n.jpg?oh=2494e35c6dc10478183dcfd5712d18d8&oe=59D1DE97	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19789583_866443843506175_106200187449376768_n.jpg?oh=85066473dbbe27f613693a7eb87c70ae&oe=5A04CFD2	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/866443330172893/	facebook.com	2017-07-05T21:00:00+0000	1499288400	"2017-07-05 23:00:00"	29	0	30	3	33	0	0	0	0	0	25	1	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_866897816794111	https://www.facebook.com/148582598625640/posts/866897816794111	"#deolhonadata A Prefeitura abraçou este projeto e em parceria com o SESI / SENAI e a PIF PAF está trazendo novas oportunidades para você. Fique atento  pois as vagas são limitadas!"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19642283_866897816794111_143188700569684584_n.jpg?oh=9b654bb7f6b8dbe0b8a9dd9ab6324a99&oe=5A0DBDAA	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19642283_866897816794111_143188700569684584_n.jpg?oh=be49edd3c756aee10bae6648b4e90ece&oe=59C6065D	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/866897816794111/?type=3	facebook.com	2017-07-05T14:05:27+0000	1499263527	"2017-07-05 16:05:27"	8	0	8	2	10	0	0	0	0	0	8	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_866483080168918	https://www.facebook.com/148582598625640/posts/866483080168918	"Curso de artesanato é oferecido pela Prefeitura  em parceria com a PIF PAF Alimentos e Sesi/Senai.  Inscrições começam amanhã. Vagas são limitadas.  Saiba mais: https://goo.gl/WQuyq1"	https://external.xx.fbcdn.net/safe_image.php?d=AQBgradcs_qaBRSG&w=130&h=130&url=http%3A%2F%2Fportal.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F07%2Fvilson.jpg&cfs=1&sx=165&sy=0&sw=530&sh=530&_nc_hash=AQCTsw7KaOHgXTed	https://external.xx.fbcdn.net/safe_image.php?d=AQAV-jptniNgWgkb&url=http%3A%2F%2Fportal.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F07%2Fvilson.jpg&_nc_hash=AQAO7B6UjcWKhuiY	https://goo.gl/WQuyq1	goo.gl	2017-07-04T23:00:00+0000	1499209200	"2017-07-05 01:00:00"	25	7	25	14	46	7	7	0	1	0	25	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_866441856839707	https://www.facebook.com/148582598625640/posts/866441856839707	"Fique de olho na programação do #ForródoPará desta quinta  6 de julho."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19920498_866442153506344_546860335915597824_n.jpg?oh=852f5a2bd6dfc6146f3c6ec644c3d019&oe=59D269CF	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19920498_866442153506344_546860335915597824_n.jpg?oh=267ba373643adc42993c4805a2aaec11&oe=59CCF38A	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/866440986839794/	facebook.com	2017-07-04T21:00:00+0000	1499202000	"2017-07-04 23:00:00"	52	14	53	23	90	11	3	8	1	0	45	1	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_866286313521928	https://www.facebook.com/148582598625640/posts/866286313521928	"Prefeitura de Pará de Minas added a new photo."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19247673_866286313521928_3110601037195781599_n.jpg?oh=8486ee42e02092adf4732b50a7735c56&oe=59C3C34B	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19247673_866286313521928_3110601037195781599_n.jpg?oh=2ec26b4bcf39bd69490a7f35728e8551&oe=59CB10B4	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/866286313521928/?type=3	facebook.com	2017-07-04T15:00:00+0000	1499180400	"2017-07-04 17:00:00"	12	0	12	7	19	0	0	0	0	0	12	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_866313930185833	https://www.facebook.com/148582598625640/posts/866313930185833	"Forró do Pará vai unir tradição e cultura.  O Forró do Pará começa na quinta-feira  6 de julho com o levantamento das bandeiras dos quatro santos e a participação das guardas de congado e do Padre Ydecy Ferreira  da Paróquia de São Francisco. A festa se estende pela sexta  sábado e termina no domingo dia 9 de julho. Programação é gratuita."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19928392_866314850185741_7461457318232719360_n.jpg?oh=274215e7a34686217b8909a3d2e40181&oe=59C68234	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19928392_866314850185741_7461457318232719360_n.jpg?oh=72aecc8f5fd3d914c25446364b59cb8a&oe=59D2D18E	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/866303480186878/	facebook.com	2017-07-04T14:55:56+0000	1499180156	"2017-07-04 16:55:56"	209	16	216	69	301	11	11	0	6	0	201	6	0	0	0	0	0
video	post_page_148582598625640	148582598625640_866225843527975	https://www.facebook.com/148582598625640/posts/866225843527975	"Começou o Campeonato de Futebol Amador.  Competição mais tradicional do futebol de Pará de Minas tem o apoio da Prefeitura."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19793734_866226236861269_4173285761493237760_n.jpg?oh=b1637bc023a8f4174302e62615dd2cc3&oe=59C68A68	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19793734_866226236861269_4173285761493237760_n.jpg?oh=56d337c2c64d293ddd0e992d2e0f73ed&oe=59D0AFD2	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/866223570194869/	facebook.com	2017-07-04T12:26:28+0000	1499171188	"2017-07-04 14:26:28"	7	0	7	1	8	0	0	0	0	0	7	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_865841780233048	https://www.facebook.com/148582598625640/posts/865841780233048	"SEMAD termina com objetivo cumprido.  3ª Semana Municipal de Prevenção ao Uso de Álcool e Outras Drogas  movimentou Pará de Minas. Proposta foi despertar na população uma reflexão sobre o tema. Palavra-chave da programação foi  Prevenção ."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19793806_865842416899651_7259160128048332800_n.jpg?oh=9ad14819f52d152b10031c9b4705884d&oe=5A11BBC5	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19793806_865842416899651_7259160128048332800_n.jpg?oh=92bcc2d5111820711c3f48eceaae5374&oe=5A0B137F	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/865834013567158/	facebook.com	2017-07-03T23:00:00+0000	1499122800	"2017-07-04 01:00:00"	12	1	13	10	24	1	1	0	1	0	12	1	0	0	0	0	0
video	post_page_148582598625640	148582598625640_865846233565936	https://www.facebook.com/148582598625640/posts/865846233565936	"Crianças são exemplo na preservação do meio ambiente.  Prefeitura e parceiros formam mais 21 Agentes Ambientais Mirins."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19793713_865847093565850_6869516039210663936_n.jpg?oh=de34774de809e48423acb68e84f34e24&oe=59C65583	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19793713_865847093565850_6869516039210663936_n.jpg?oh=f61b142e7ecc1973ef16773e9046b0bb&oe=59D44839	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/865836386900254/	facebook.com	2017-07-03T21:00:00+0000	1499115600	"2017-07-03 23:00:00"	14	0	14	2	16	0	0	0	0	0	14	0	0	0	0	0	0
