day	posts	likes	reactions	comments	shares
2017-01-02	1	29	29	0	0
2017-01-03	1	29	29	1	4
2017-01-04	1	58	64	8	8
2017-01-05	1	13	13	0	2
2017-01-06	2	31	32	3	0
2017-01-07	0	0	0	0	0
2017-01-08	0	0	0	0	0
2017-01-09	2	101	104	21	18
2017-01-10	4	88	89	0	14
2017-01-11	3	58	62	3	9
2017-01-12	2	36	36	0	15
2017-01-13	3	41	43	8	11
2017-01-14	3	160	162	30	177
2017-01-15	0	0	0	0	0
2017-01-16	6	185	186	40	104
2017-01-17	2	100	107	20	43
2017-01-18	1	25	25	2	15
2017-01-19	2	106	107	1	21
2017-01-20	3	76	78	13	34
2017-01-21	0	0	0	0	0
2017-01-22	0	0	0	0	0
2017-01-23	5	119	119	16	25
2017-01-24	3	67	68	9	13
2017-01-25	3	97	104	14	34
2017-01-26	2	73	74	16	28
2017-01-27	4	77	77	22	23
2017-01-28	0	0	0	0	0
2017-01-29	0	0	0	0	0
2017-01-30	3	215	220	31	139
2017-01-31	4	107	109	32	50
2017-02-01	0	0	0	0	0
2017-02-02	2	65	70	1	30
2017-02-03	3	93	96	14	36
2017-02-04	1	50	51	1	6
2017-02-05	0	0	0	0	0
2017-02-06	4	112	119	16	46
2017-02-07	1	13	13	0	10
2017-02-08	3	37	37	4	14
2017-02-09	1	33	35	1	10
2017-02-10	1	15	15	1	6
2017-02-11	0	0	0	0	0
2017-02-12	0	0	0	0	0
2017-02-13	2	30	31	1	20
2017-02-14	2	54	56	23	21
2017-02-15	3	74	74	4	14
2017-02-16	2	61	63	13	22
2017-02-17	3	44	45	3	37
2017-02-18	1	8	8	1	5
2017-02-19	0	0	0	0	0
2017-02-20	2	88	90	5	49
2017-02-21	2	15	15	0	6
2017-02-22	1	21	21	0	11
2017-02-23	3	48	49	13	26
2017-02-24	4	149	164	19	39
2017-02-25	0	0	0	0	0
2017-02-26	0	0	0	0	0
2017-02-27	1	16	16	0	7
2017-02-28	0	0	0	0	0
2017-03-01	1	17	18	7	7
2017-03-02	3	42	42	5	24
2017-03-03	1	16	16	0	5
2017-03-04	2	24	24	9	11
2017-03-05	0	0	0	0	0
2017-03-06	3	42	42	7	52
2017-03-07	3	28	29	9	12
2017-03-08	2	20	20	0	10
2017-03-09	2	43	45	2	25
2017-03-10	4	49	49	8	35
2017-03-11	0	0	0	0	0
2017-03-12	0	0	0	0	0
2017-03-13	2	27	28	4	14
2017-03-14	4	43	44	7	9
2017-03-15	2	15	15	4	5
2017-03-16	3	41	41	3	14
2017-03-17	4	63	64	8	46
2017-03-18	0	0	0	0	0
2017-03-19	0	0	0	0	0
2017-03-20	3	53	54	2	18
2017-03-21	0	0	0	0	0
2017-03-22	6	187	197	51	119
2017-03-23	3	22	23	4	15
2017-03-24	1	12	12	4	9
2017-03-25	0	0	0	0	0
2017-03-26	0	0	0	0	0
2017-03-27	2	20	21	3	5
2017-03-28	3	59	59	13	16
2017-03-29	0	0	0	0	0
2017-03-30	2	27	28	11	14
2017-03-31	1	3	3	1	0
2017-04-01	0	0	0	0	0
2017-04-02	0	0	0	0	0
2017-04-03	3	68	75	31	29
2017-04-04	0	0	0	0	0
2017-04-05	2	77	79	14	35
2017-04-06	1	19	19	8	4
2017-04-07	1	118	124	20	119
2017-04-08	0	0	0	0	0
2017-04-09	0	0	0	0	0
2017-04-10	3	70	72	17	32
2017-04-11	2	21	27	5	20
2017-04-12	4	20	21	6	6
2017-04-13	3	88	104	31	27
2017-04-14	1	38	47	16	9
2017-04-15	0	0	0	0	0
2017-04-16	0	0	0	0	0
